Fund,Fund Manager,Category,Mar-24,Apr-24,May-24,Jun-24,Jul-24,Aug-24,Sep-24,Oct-24,Nov-24,Dec-24,classification
Aditya Birla SL Financial Planning FOF Conservative Plan(G),Vinod Narayan Bhat,FOF-DOM,0.52,2.1,0.69,3.15,2.48,0.81,1.55,-2.12,-0.12,0.14,FoFs : Domestic
Aditya Birla SL Financial Planning FOF Moderate Plan(G),Vinod Narayan Bhat,FOF-DOM,0.42,2.98,0.81,4.58,3.38,0.86,1.8,-3.39,-0.17,-0.23,FoFs : Domestic
Aditya Birla SL Flexi Cap Fund(G),Harish krishnan,EQ-FLEX,1.02,3.45,0.09,7.6,4.59,2.18,3.19,-5.89,-0.4,-1.1,Equity : Flexi Cap
Aditya Birla SL Floating Rate Fund(G),Kaustubh Gupta,DT-FL,0.8,0.62,0.61,0.61,0.74,0.56,0.63,0.77,0.5,0.59,Debt : Floater
Aditya Birla SL Focused Fund(G),Kunal Sangoi,EQ-LC,0.28,3.03,-0.55,7.78,4.73,1.6,3.13,-5.82,-0.26,-1.42,Equity : Large Cap
Aditya Birla SL Frontline Equity Fund(G),Mahesh Patil,EQ-LC,1.45,2.08,0.85,7.34,4.66,1.34,2.49,-6.14,-0.25,-1.63,Equity : Large Cap
Aditya Birla SL G Sec Fund(G),Bhupesh Bameta,DT-GILT,0.83,-0.8,1.81,0.83,0.82,0.97,1.54,-0.29,0.31,0.39,Debt : Gilt
Aditya Birla SL Global Emerging Opp Fund(G),Dhaval Joshi,FOF-OVR,2.82,-4.3,4.35,3.83,-1.75,2.54,0.48,-0.97,4.48,-1.45,FoFs : Overseas
Aditya Birla SL Global Excellence Equity FoF(G),Dhaval Joshi,FOF-OVR,2.59,-4.28,5.33,4.64,-1.37,3,0.3,-2.59,3.43,-1.24,FoFs : Overseas
Aditya Birla SL Gold ETF,Sachin Wankhede,GOLD-ETF,7.8,6.6,0.77,-0.81,-3.49,3.69,4.57,5.36,-3.49,-0.67,Gold : ETFs
Aditya Birla SL Gold Fund(G),Priya Sridhar,GOLD-MF,7.09,8.04,0.07,-0.71,-3.07,3.34,4.72,4.83,-3.46,-0.51,Gold : MFs
Aditya Birla SL Income Fund(G),Bhupesh Bameta,DT-M&LD,0.71,-0.41,1.43,0.75,0.82,0.87,1.27,0.12,0.35,0.55,Debt : Medium to Long Duration
Aditya Birla SL India GenNext Fund(G),Chanchal Khandelwal,EQ-CONS,1.7,3.99,-0.08,8.12,5.45,3.1,4.23,-8.63,-0.28,-0.89,Equity : Thematic - Consumption
Aditya Birla SL Infrastructure Fund(G),Mahesh Patil,EQ-INFRA,1.43,7.13,4.6,4.68,4,-2.01,1.94,-5.3,-0.85,-1.58,Equity : Sectoral - Infrastructure
Aditya Birla SL Intl. Equity Fund(G),Dhaval Joshi,EQ-INTL,3.38,-4.34,2.76,-1.51,4.38,4.83,1.77,-4.15,2.76,-2.46,Equity : International
Aditya Birla SL Liquid Fund(G),Kaustubh Gupta,DT-LIQ,0.65,0.62,0.6,0.57,0.61,0.58,0.58,0.59,0.56,0.58,Debt : Liquid
Aditya Birla SL Long Duration Fund Reg(G),Harshil Suvarnkar,DT-LD,0.86,-0.81,1.87,0.92,0.77,1.2,1.67,-0.07,0.19,0.57,Debt : Long Duration
Aditya Birla SL Low Duration Fund(G),Kaustubh Gupta,DT-LOWD,0.69,0.53,0.58,0.57,0.63,0.5,0.61,0.64,0.47,0.56,Debt : Low Duration
Aditya Birla SL Medium Term Plan Reg(G),Sunaina da Cunha,DT-MD,0.63,0.12,1,1.02,0.93,0.77,1.14,1.98,0.53,0.5,Debt : Medium Duration
Aditya Birla SL Mfg. Equity Fund Reg(G),Harish krishnan,EQ-CONS,1.8,7.34,1.65,6.97,5.06,0.69,4.48,-5.69,-1.15,-0.95,Equity : Thematic - Consumption
Aditya Birla SL Midcap Fund(G),Vishal Gajwani,EQ-MID,-0.07,7.87,0.64,9.01,5.34,0.79,4.91,-6.22,-1.79,-0.39,Equity : Mid Cap
Aditya Birla SL MNC Fund Reg(G),Chanchal Khandelwal,EQ-MNC,-0.71,5.56,5.31,7.96,3.44,-1.07,3.74,-5.1,-1.59,-1.74,Equity : Thematic - MNC
Aditya Birla SL Money Manager Fund(G),Kaustubh Gupta,DT-MM,0.77,0.6,0.61,0.6,0.65,0.56,0.66,0.62,0.56,0.61,Debt : Money Market
Aditya Birla SL Multi Asset Allocation Fund Reg(G),Dhaval Gala,HY-MULTI,1.53,3.49,1.58,4.52,2.41,1,3.15,-3.23,-0.37,-0.22,Hybrid : Multi Asset Allocation
Aditya Birla SL Multi Cap Fund Reg(G),Abhinav Khandelwal,EQ-MLC,0.85,4.39,1.85,7.7,3.31,1.42,3.56,-5.67,0.31,-0.36,Equity : Multi Cap
Aditya Birla SL Multi Index FoF Reg(G),Vinod Narayan Bhat,FOF-DOM,0.21,5.53,1.83,4.43,3.64,0.86,0.73,-3.99,0.32,-0.5,FoFs : Domestic
Aditya Birla SL NASDAQ 100 FOF Reg(G),Dhaval Joshi,FOF-OVR,2.37,-3.32,3.55,8.65,-2.27,0.36,2.99,0.11,5.41,3.0,FoFs : Overseas
Aditya Birla SL Nifty 200 Momentum 30 ETF,Priya Sridhar,EQ-ETF,2.73,5.8,4.88,3.42,4.94,0.48,1.29,-8.15,-0.73,-4.27,Equity : ETFs
Aditya Birla SL Nifty 200 Quality 30 ETF,Priya Sridhar,EQ-ETF,-0.34,0.84,3.96,6.54,7.75,2.58,2.31,-8.56,-0.06,-2.25,Equity : ETFs
Aditya Birla SL Nifty 50 Equal Weight Index Fund Reg(G),Priya Sridhar,EQ-INDX,1.43,0.97,0.22,6.26,5.56,1.81,2.6,-8.08,-2.44,-1.95,Equity : Index Funds
Aditya Birla SL Nifty 50 ETF,Priya Sridhar,EQ-ETF,1.56,1.24,0.02,6.74,3.98,1.35,2.27,-6.12,-0.26,-2.02,Equity : ETFs
Aditya Birla SL Nifty 50 Index Fund Reg(G),Priya Sridhar,EQ-INDX,1.52,1.2,-0.01,6.69,3.94,1.32,2.23,-6.15,-0.29,-2.06,Equity : Index Funds
Aditya Birla SL Nifty Bank ETF,Priya Sridhar,EQ-ETF,2.15,4.81,-0.32,6.91,-1.48,-0.17,3.14,-2.84,1.12,-2.32,Equity : ETFs
Aditya Birla SL Nifty Healthcare ETF,Priya Sridhar,EQ-ETF,0.89,-0.71,-1.51,6.61,9.51,5.63,1.68,-2.22,-2.09,5.81,Equity : ETFs
Aditya Birla SL Nifty India Defence Index Fund Reg(G),Priya Sridhar,EQ-INDX,-,-,-,-,-,-,-4.48,-4.72,5.5,-3.43,Equity : Index Funds
Aditya Birla SL Nifty IT ETF,Priya Sridhar,EQ-ETF,-7.6,-4.91,-1.6,11.62,13.09,4.69,-1.95,-3.13,6.73,0.42,Equity : ETFs
Aditya Birla SL Nifty Midcap 150 Index Fund Reg(G),Priya Sridhar,EQ-INDX,-0.45,6.22,2.22,7.86,4.96,0.29,1.68,-6.49,0.16,1.02,Equity : Index Funds
Aditya Birla SL Nifty Next 50 ETF,Priya Sridhar,EQ-ETF,2.9,7.1,4.1,5.98,4.64,0.78,2.33,-9.29,1.23,-3.67,Equity : ETFs
Aditya Birla SL Nifty Next 50 Index Fund Reg(G),Priya Sridhar,EQ-INDX,2.79,6.84,4.02,5.89,4.56,0.69,2.28,-9.37,1.19,-4.07,Equity : Index Funds
Aditya Birla SL Nifty PSE ETF,Priya Sridhar,EQ-ETF,-,-,-,1.69,9.35,-1.17,-1.76,-9.74,-0.26,-5.82,Equity : ETFs
Aditya Birla SL Nifty SDL Apr 2027 Index Fund Reg(G),Bhupesh Bameta,DT-M&LD,0.53,0.44,0.8,0.73,0.83,0.69,0.71,0.56,0.43,0.49,Debt : Medium to Long Duration
Aditya Birla SL Nifty SDL Plus PSU Bond Sep 2026 60:40 Index Fund Reg(G),Mohit Sharma,DT-M&LD,0.6,0.46,0.72,0.65,0.77,0.64,0.68,0.63,0.46,0.52,Debt : Medium to Long Duration
Aditya Birla SL Nifty SDL Sep 2025 Index Fund Reg(G),Bhupesh Bameta,DT-MD,0.52,0.52,0.64,0.66,0.72,0.59,0.65,0.51,0.47,0.53,Debt : Medium Duration
Aditya Birla SL Nifty SDL Sep 2027 Index Fund Reg(G),Harshil Suvarnkar,DT-MD,0.54,0.41,0.88,0.81,0.94,0.71,0.74,0.46,0.47,0.49,Debt : Medium Duration
Aditya Birla SL Nifty Smallcap 50 Index Fund Reg(G),Priya Sridhar,EQ-INDX,-4.67,11.73,-1.75,10.92,4.45,2.55,0.19,-2.49,0.13,-0.63,Equity : Index Funds
Aditya Birla SL Overnight Fund Reg(G),Kaustubh Gupta,DT-ON,0.56,0.53,0.55,0.53,0.53,0.53,0.52,0.53,0.52,0.55,Debt : Overnight
Aditya Birla SL Pharma & Healthcare Fund Reg(G),Dhaval Shah,EQ-PHRM,-0.19,-0.91,-0.04,3.32,11.12,6.05,1.44,-2.81,-1.91,3.92,Equity : Sectoral - Pharma
Aditya Birla SL PSU Equity Fund Reg(G),Dhaval Gala,EQ-THEM,-0.63,8.88,0.81,1.78,6.08,-2.43,-1.04,-7.65,-0.51,-5.5,Equity : Thematic
Aditya Birla SL Pure Value Fund(G),Kunal Sangoi,EQ-VAL,-1.08,4.8,-2.63,8.38,6.36,2.31,1.18,-5.3,-0.79,-1.26,Equity : Value / Contra
Aditya Birla SL Quant Fund Reg(G),Harish krishnan,EQ-THEM,-,-,-,-,3.6,0.29,2.5,-9.2,-1.86,0.42,Equity : Thematic
Aditya Birla SL Regular Savings Fund(G),Mohit Sharma,HY-DT(CO),0.93,1,1.15,1.87,1.57,0.84,1.6,-0.44,0.54,0.11,Hybrid : Debt Oriented (Conservative)
Aditya Birla SL Retirement Fund 30 Reg(G),Jonas Bhutta,HY-SOL,0.88,4.77,1.53,5.75,4.12,1.69,3.38,-4.97,-0.43,-0.98,Hybrid : Solution Oriented
Aditya Birla SL Retirement Fund 40 Reg(G),Chanchal Khandelwal,HY-SOL,0.25,3.17,1.32,4.61,3.27,1.26,2.76,-3.77,0.39,1.71,Hybrid : Solution Oriented
Aditya Birla SL Retirement Fund 50 Plus Debt Plan Reg(G),Harshil Suvarnkar,HY-SOL,0.47,0.15,0.78,0.47,0.71,0.58,0.72,0.25,0.36,0.44,Hybrid : Solution Oriented
Aditya Birla SL Retirement Fund 50 Reg(G),Mohit Sharma,HY-SOL,0.64,1.02,0.95,1.69,1.61,0.96,1.49,-1.06,0.44,-0.01,Hybrid : Solution Oriented
Aditya Birla SL Savings Fund Reg(G),Kaustubh Gupta,DT-USD,0.74,0.66,0.6,0.58,0.64,0.56,0.64,0.7,0.57,0.67,Debt : Ultra Short Duration
Aditya Birla SL Short Term Fund(G),Kaustubh Gupta,DT-SD,0.69,0.25,0.84,0.58,0.81,0.66,0.87,0.51,0.54,0.59,Debt : Short Duration
Aditya Birla SL Silver ETF,Sachin Wankhede,GOLD-ETF,6.76,7.75,15.08,-4.78,-5.62,2.43,5.28,7.62,-7.32,-3.85,Gold : ETFs
Aditya Birla SL Silver ETF FOF Reg(G),Priya Sridhar,FOF-DOM,5.71,8.46,14.84,-4.93,-4.98,1.87,5.58,7.02,-7.6,-3.47,FoFs : Domestic
Aditya Birla SL Small Cap Fund(G),Abhinav Khandelwal,EQ-SML,-1.99,8.73,0.35,9.7,4.66,-0.91,3.8,-4.08,-0.59,-0.96,Equity : Small Cap
Aditya Birla SL Special Opp Fund Reg(G),Dhaval Gala,EQ-THEM,-0.54,5.18,-0.38,7.77,5.46,1.86,2.81,-6.01,0.25,-0.97,Equity : Thematic
Aditya Birla SL Transportation and Logistics Fund Reg(G),Dhaval Gala,EQ-AUTO,3.66,4.57,2.69,7.85,4.85,1.19,3.0,-12.05,0.29,-2.52,Equity : Sectoral - Auto
Aditya Birla SL US Treasury 1 3 year Bond ETFs FoF Reg(G),Vighnesh Gupta,DT-ETF,0.8,-0.25,0.65,0.56,1.34,1.18,0.73,-0.28,0.86,1.44,Debt : ETFs
Aditya Birla SL US Treasury 3 10 year Bond ETFs FoF Reg(G),Vighnesh Gupta,DT-ETF,1.04,-1.98,1.31,1.22,2.19,1.84,0.9,-2.18,1.2,0.27,Debt : ETFs
Axis Aggressive Hybrid Fund Reg(G),Jayesh Sundar,HY-EQ,1.21,2.11,0.89,6.25,4.48,1.69,2.4,-4.12,0.1,-1.45,Hybrid : Equity Oriented
Axis All Seasons Debt FOFs Reg(G),Devang Shah,FOF-DOM,0.9,-0.49,1.68,0.71,0.92,0.97,1.52,-0.26,0.43,0.49,FoFs : Domestic
Axis Arbitrage Fund Reg(G),Karthik Kumar,HY-ARB,0.65,0.68,0.59,0.62,0.58,0.54,0.5,0.62,0.51,0.6,Hybrid : Arbitrage
Axis Balanced Advantage Fund Reg(G),Jayesh Sundar,HY-DYN,1.34,0.66,2.2,4.73,3.03,1.64,2.11,-2.88,0.64,-0.54,Hybrid : Dynamic Asset Allocation
Axis Banking & PSU Debt Fund Reg(G),Aditya Pagaria,DT-B&PSU,0.67,0.4,0.67,0.49,0.86,0.67,0.76,0.53,0.53,0.52,Debt : Banking & PSU
Axis Bluechip Fund Reg(G),Shreyash Devalkar,EQ-LC,4.05,0.58,-0.65,6.79,2.77,2.2,2.59,-7.57,1.1,-0.78,Equity : Large Cap
Axis BSE Sensex ETF,Karthik Kumar,EQ-ETF,1.56,1.11,-0.34,7.06,3.49,0.94,2.34,-5.7,0.56,-2.08,Equity : ETFs
Axis BSE Sensex Index Fund Reg(G),Karthik Kumar,EQ-INDX,1.53,1.08,-0.41,6.99,3.43,0.9,2.29,-5.73,0.47,-2.14,Equity : Index Funds
Axis Business Cycles Fund Reg(G),Ashish Naik,EQ-THEM,1.07,4.24,1.36,6.43,4.47,0.6,2.27,-5.73,0.93,-0.74,Equity : Thematic
Axis Childrens Fund Compulsory Lock in Reg(G),Jayesh Sundar,HY-SOL,0.97,1.89,1.47,6.27,3.91,1.66,2.63,-3.82,0.41,-0.99,Hybrid : Solution Oriented
Axis Childrens Fund No Lock in Reg(G),Jayesh Sundar,HY-SOL,0.97,1.89,1.47,6.27,3.91,1.66,2.63,-3.82,0.41,-0.99,Hybrid : Solution Oriented
Axis Conservative Hybrid Fund Reg(G),Devang Shah,HY-DT(CO),0.7,-0.1,0.9,2.55,1.55,0.97,1.48,-1.6,0.19,-0.23,Hybrid : Debt Oriented (Conservative)
Axis Consumption Fund Reg(G),Shreyash Devalkar,EQ-CONS,-,-,-,-,-,-,-,-7.35,1.16,0.73,Equity : Thematic - Consumption
Axis Corp Bond Fund Reg(G),Devang Shah,DT-CORP,0.69,0.22,0.87,0.53,0.92,0.74,0.86,0.43,0.59,0.52,Debt : Corporate Bond
Axis Credit Risk Fund Reg(G),Devang Shah,DT-CR,0.77,0.41,0.76,0.59,0.75,0.77,0.79,0.61,0.61,0.49,Debt : Credit Risk
Axis CRISIL IBX 50:50 Gilt Plus SDL June 2028 Index Fund Reg(G),Hardik Shah,DT-M&LD,0.66,0.2,0.95,0.7,1.04,0.76,0.86,0.39,0.51,0.49,Debt : Medium to Long Duration
Axis CRISIL IBX 50:50 Gilt Plus SDL Sep 2027 Index Fund Reg(G),Aditya Pagaria,DT-M&LD,0.56,0.38,0.85,0.74,0.94,0.72,0.73,0.43,0.53,0.44,Debt : Medium to Long Duration
Axis CRISIL IBX 70:30 CPSE Plus SDL April 2025 Index Fund Reg(G),Devang Shah,DT-MD,0.67,0.56,0.63,0.56,0.69,0.54,0.61,0.61,0.56,0.54,Debt : Medium Duration
Axis CRISIL IBX SDL June 2034 Debt Index Fund Reg(G),Hardik Shah,DT-LD,-,-0.2,1.18,0.99,0.9,0.95,1.39,0.36,0.22,0.81,Debt : Long Duration
Axis CRISIL IBX SDL May 2027 Index Fund Reg(G),Hardik Shah,DT-M&LD,0.51,0.49,0.87,0.73,0.99,0.69,0.7,0.57,0.48,0.49,Debt : Medium to Long Duration
Axis CRISIL IBX AAA Bond Financial Services   Sep 2027 Index Fund Reg(G),Aditya Pagaria,DT-M&LD,-,-,-,-,-,-,-,-,-,0.55,Debt : Medium to Long Duration
Axis CRISIL IBX AAA Bond NBFC   Jun 2027 Index Fund Reg(G),Aditya Pagaria,DT-M&LD,-,-,-,-,-,-,-,0.84,0.58,0.58,Debt : Medium to Long Duration
Axis Dynamic Bond Fund Reg(G),Devang Shah,DT-DYN,0.79,0.08,0.93,0.59,0.9,1.01,1.44,-0.13,0.46,0.49,Debt : Dynamic Bond
Axis ELSS Tax Saver Fund Reg(G),Shreyash Devalkar,EQ-ELSS,5.19,1.62,-1.08,7.57,4.45,1.39,3.17,-6.39,-0.06,-0.43,Equity : Tax Saving (ELSS)
Axis Equity ETFs FoF Reg(G),Karthik Kumar,EQ-ETF,0.93,3.91,1.36,6.44,4.32,1.1,1.71,-8.07,-1.08,-2.72,Equity : ETFs
Axis Equity Savings Fund Reg(G),Mayank Hyanki,HY-EQ,0.6,0.65,0.6,2.96,2.2,1.31,1.25,-2.1,0.84,-0.09,Hybrid : Equity Oriented
Axis ESG Integration Strategy Fund Reg(G),Vishal Agarwal,EQ-THEM,2.02,0.88,0.05,6.55,5.37,3.03,2.23,-6.93,0.8,-1.3,Equity : Thematic
Axis Flexi Cap Fund Reg(G),Sachin Relekar,EQ-FLEX,2.47,3.57,1.29,7.19,3.41,1.73,3.55,-5.97,1.2,0.31,Equity : Flexi Cap
Axis Floater Fund Reg(G),Aditya Pagaria,DT-FL,0.84,-0.32,1.64,0.73,0.85,1.14,1.59,-0.19,0.49,0.53,Debt : Floater
Axis Focused Fund Reg(G),Sachin Relekar,EQ-MLC,6,1.02,-1.11,6.26,3.65,2.2,3.73,-6.79,0.21,-0.75,Equity : Multi Cap
Axis Gilt Fund Reg(G),Devang Shah,DT-GILT,0.92,-0.51,1.8,0.75,0.9,1.14,1.61,-0.15,0.45,0.46,Debt : Gilt
Axis Global Equity Alpha FoF Reg(G),Krishnaa N,FOF-OVR,3.91,-3,2.97,3.81,-0.95,2.65,0.52,0.13,3.89,0.28,FoFs : Overseas
Axis Global Innovation FoF Reg(G),Krishnaa N,FOF-OVR,2.75,-3.35,4.76,5.04,-2.52,2.58,1.26,-0.93,3.06,1.83,FoFs : Overseas
Axis Gold ETF,Aditya Pagaria,GOLD-ETF,8.02,6.41,0.49,-0.69,-3.27,3.81,4.47,5.36,-3.42,-0.76,Gold : ETFs
Axis Gold Fund Reg(G),Aditya Pagaria,GOLD-MF,6.91,7.84,0.47,-0.7,-3.32,3.09,4.86,4.9,-3.83,-0.15,Gold : MFs
Axis Greater China Equity FoF Reg(G),Krishnaa N,FOF-OVR,2.52,3.68,1.48,-0.44,-2.93,1.81,16.3,-5.99,-3.12,1.54,FoFs : Overseas
Axis Growth Opp Fund Reg(G),Shreyash Devalkar,EQ-L&M,3.32,2.52,2.11,6.34,4.24,1.77,2.53,-5.6,0.95,0.06,Equity : Large & Mid Cap
Axis India Manufacturing Fund Reg(G),Shreyash Devalkar,EQ-THEM,4.6,4.83,6.66,7.25,3.67,0.76,2.34,-7.73,-0.44,-0.22,Equity : Thematic
